Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 5,"44mm, 1GB/32GB, GPS, Aluminium",75,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 5,"44mm, 1GB/32GB, GPS & Cellular, Aluminium",75,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 5,"44mm, 1GB/32GB, GPS & Cellular, Stainless Steel",75,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 6,"40mm, 1GB/32GB, GPS, Aluminium",125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 6,"40mm, 1GB/32GB, GPS & Cellular, Aluminium",175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 6,"40mm, 1GB/32GB, GPS & Cellular, Stainless Steel",175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 6,"44mm, 1GB/32GB, GPS, Aluminium",150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 6,"44mm, 1GB/32GB, GPS & Cellular, Aluminium",225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 6,"44mm, 1GB/32GB, GPS & Cellular, Stainless Steel",225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"41mm, 1GB/32GB, GPS, Aluminium",175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"41mm, 1GB/32GB, GPS & Cellular, Aluminium",250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"41mm, 1GB/32GB, GPS & Cellular, Stainless Steel",250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"41mm, GPS, Titanium",215,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"41mm, GPS & Cellular, Titanium",285,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"45mm, 1GB/32GB, GPS, Aluminium",250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"45mm, 1GB/32GB, GPS & Cellular, Aluminium",300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"45mm, 1GB/32GB, GPS & Cellular, Stainless Steel",300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"45mm, GPS, Titanium",285,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 7,"45mm, GPS & Cellular, Titanium",335,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 8,"41mm, 1GB/32GB, GPS, Aluminium",250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 8,"41mm, 1GB/32GB, GPS & Cellular, Aluminium",325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 8,"41mm, 1GB/32GB, GPS & Cellular, Stainless Steel",425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 8,"45mm, 1GB/32GB, GPS, Aluminium",300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 8,"45mm, 1GB/32GB, GPS & Cellular, Aluminium",350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 8,"45mm, 1GB/32GB, GPS & Cellular, Stainless Steel",525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 9,"41mm, 1GB/64GB, GPS, Aluminium",425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 9,"41mm, 1GB/64GB, GPS & Cellular, Aluminium",550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 9,"41mm, 1GB/64GB, GPS & Cellular, Stainless Steel",675,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 9,"45mm, 1GB/64GB, GPS, Aluminium",500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 9,"45mm, 1GB/64GB, GPS & Cellular, Aluminium",575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 9,"45mm, 1GB/64GB, GPS & Cellular, Stainless Steel",775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Ultra 1,"49mm, 32GB, GPS & Cellular, Titanium",800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Ultra 2 (2024),"49mm, 1GB/64GB, Titanium",1170,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Ultra 2,"49mm, 1GB/64GB, GPS & Cellular, Titanium",1150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Ultra 2 Hermes,"49mm, 2GB/64GB, GPS & Cellular, Titanium",1170,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Ultra 3,"49mm, GPS & Cellular, Titanium",1900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Ultra 3 Hermes,"49mm, GPS & Cellular, Titanium",2550,https://compasia.my/pages/trade-in
